iteration,episode,ag1_iql_loss,ag2_iql_loss
178,8900,274054959344962.46875,0.00168
179,8950,283716688537886.06250,0.00157
180,9000,297471147888135.37500,0.00155
181,9050,311657398612870.93750,0.00152
182,9100,319886764366144.25000,0.00146
183,9150,339359411387670.00000,0.00138
184,9200,344072614698299.00000,0.00132
185,9250,357977222120309.62500,0.00123
186,9300,371121787492766.00000,0.00134
187,9350,391272668179010.12500,0.00133
188,9400,404456798426898.18750,0.00122
189,9450,416919893873938.43750,0.00114
190,9500,434293882090371.12500,0.00103
191,9550,457424550715403.93750,0.00112
192,9600,464759117546723.37500,0.00107
193,9650,485377714756573.81250,0.00103
194,9700,505210363785961.75000,0.00103
195,9750,514858229539866.25000,0.00111
196,9800,538395069555909.75000,0.00101
197,9850,561590927816100.25000,0.00099
198,9900,583514878057585.75000,0.00099
199,9950,599137752184008.37500,0.00102
200,10000,620753385332453.50000,0.00094
201,10050,657494889304352.12500,0.00097
202,10100,671700402281669.12500,0.00101
203,10150,698288953252970.62500,0.00106
204,10200,721848388364123.12500,0.00098
205,10250,749929967261752.75000,0.00111
206,10300,770522951865177.25000,0.00121
207,10350,797659442567781.25000,0.00124
208,10400,835855322004096.87500,0.00115
209,10450,846874361342289.75000,0.00114
210,10500,863468749219430.37500,0.00111
211,10550,912000661426531.00000,0.00117
212,10600,945702356166122.00000,0.00112
213,10650,976097084337997.87500,0.00114
214,10700,986612626592088.25000,0.00112
215,10750,1035694514334795.25000,0.00117
216,10800,1067676134684386.25000,0.00115
217,10850,1090657783758057.00000,0.00115
218,10900,1139073701174307.50000,0.00111
219,10950,1165711078844966.50000,0.00109
220,11000,1207588927899642.25000,0.00112
221,11050,1263684375373650.75000,0.00112
222,11100,1280731083778038.50000,0.00118
223,11150,1366415733025898.25000,0.00118
224,11200,1382597079357707.25000,0.00121
225,11250,1410431188548549.25000,0.00115
226,11300,1450254425000741.00000,0.00106
227,11350,1538415466850049.25000,0.00110
228,11400,1538762151155114.50000,0.00111
229,11450,1609434028180811.25000,0.00110
230,11500,1616358782619630.25000,0.00106
231,11550,1675961535610149.50000,0.00109
232,11600,1725424537562831.00000,0.00105
233,11650,1795934634664935.00000,0.00109
234,11700,1872759772847542.00000,0.00100
235,11750,1916206227554517.50000,0.00104
236,11800,1984532341521597.75000,0.00096
237,11850,2040825678997834.25000,0.00106
238,11900,2062427910668333.75000,0.00110
239,11950,2153907589845170.00000,0.00110
240,12000,2193004605883584.50000,0.00096
241,12050,2264357830756706.50000,0.00099
242,12100,2301011299497053.00000,0.00094
243,12150,2398152246010159.50000,0.00098
244,12200,2438741571759685.50000,0.00098
245,12250,2532799644231136.50000,0.00100
246,12300,2608957580920055.50000,0.00106
247,12350,2697646839360577.50000,0.00104
248,12400,2741090675519265.00000,0.00117
249,12450,2808424637030385.50000,0.00111
250,12500,2892459266699006.00000,0.00116
251,12550,2921706207658142.00000,0.00105
252,12600,3030865611559309.00000,0.00100
253,12650,3090092915319005.50000,0.00096
254,12700,3190454766871334.50000,0.00099
255,12750,3276141730244225.00000,0.00100
256,12800,3314429507724536.00000,0.00097
257,12850,3419940349991789.50000,0.00108
258,12900,3539137747581521.00000,0.00100
259,12950,3597117852894468.00000,0.00093
260,13000,3721864697353418.50000,0.00095
261,13050,3714828162811174.50000,0.00101
262,13100,3863049690637348.00000,0.00118
263,13150,3948278729460018.50000,0.00117
264,13200,4066714997573123.50000,0.00112
265,13250,4198174934540469.00000,0.00109
266,13300,4292246059160968.50000,0.00101
267,13350,4356174569439721.00000,0.00095
268,13400,4485547940684439.00000,0.00103
269,13450,4588703132526083.00000,0.00109
270,13500,4627732052123459.00000,0.00115
271,13550,4748749538391549.00000,0.00109
272,13600,4849886576444806.00000,0.00110
273,13650,5071845701164895.00000,0.00115
274,13700,5102250808983152.00000,0.00111
275,13750,5271988414724206.00000,0.00115
276,13800,5290129694108495.00000,0.00107
277,13850,5397881906708195.00000,0.00112
278,13900,5603369053584998.00000,0.00110
279,13950,5696826499299076.00000,0.00107
280,14000,5783163408986186.00000,0.00111
281,14050,5914241548507306.00000,0.00108
282,14100,6104687287551564.00000,0.00108
283,14150,6292613972252690.00000,0.00112
284,14200,6394751426193484.00000,0.00098
285,14250,6444801527173003.00000,0.00108
286,14300,6677659306504733.00000,0.00105
287,14350,6718468155482259.00000,0.00107
288,14400,6942851169552800.00000,0.00101
289,14450,7087548588618740.00000,0.00107
290,14500,7316152458595372.00000,0.00098
291,14550,7634247648565802.00000,0.00101
292,14600,7625008968430658.00000,0.00102
293,14650,7862658139922857.00000,0.00099
294,14700,7985506506957886.00000,0.00098
295,14750,8114127458411270.00000,0.00095
296,14800,8274023802535574.00000,0.00098
297,14850,8325287892950840.00000,0.00102
298,14900,8612918744947573.00000,0.00100
299,14950,8868505420200621.00000,0.00096
300,15000,9228744597292828.00000,0.00106
301,15050,9340442448192460.00000,0.00096
302,15100,9451235382174640.00000,0.00097
303,15150,9655200329621986.00000,0.00099
304,15200,9745117652367378.00000,0.00098
305,15250,9992939759079898.00000,0.00099
306,15300,10173398943031528.00000,0.00098
307,15350,10226992078336820.00000,0.00099
308,15400,10615779697541816.00000,0.00098
309,15450,10824841827997662.00000,0.00090
310,15500,11027604993875540.00000,0.00089
311,15550,11280679600473442.00000,0.00099
312,15600,11482680890551298.00000,0.00103
313,15650,11576504418226558.00000,0.00098
314,15700,11875769768432662.00000,0.00100
315,15750,12096390237096946.00000,0.00097
316,15800,12188415725448466.00000,0.00104
317,15850,12285013150413994.00000,0.00104
318,15900,12805905871670994.00000,0.00103
319,15950,13005697741252078.00000,0.00103
320,16000,13205885685563570.00000,0.00105
321,16050,13520453358860932.00000,0.00104
322,16100,13741706623247294.00000,0.00103
323,16150,14128136415001588.00000,0.00110
324,16200,14152694804916066.00000,0.00104
325,16250,14587783036013900.00000,0.00103
326,16300,14835537674146952.00000,0.00106
327,16350,15066011613765162.00000,0.00098
328,16400,15224798375693442.00000,0.00099
329,16450,15608608308823996.00000,0.00096
330,16500,16219869951707646.00000,0.00097
331,16550,16383720976243734.00000,0.00096
332,16600,16568397372841682.00000,0.00100
333,16650,16665252208730086.00000,0.00094
334,16700,16866237695684070.00000,0.00094
335,16750,17524591475832618.00000,0.00093
336,16800,17725334663197324.00000,0.00097
337,16850,17916830262263756.00000,0.00099
338,16900,18268110344768140.00000,0.00100
339,16950,18744230996735440.00000,0.00100
340,17000,19382233722369984.00000,0.00095
341,17050,19682700888905008.00000,0.00098
342,17100,19940802703279616.00000,0.00107
343,17150,20334087514909644.00000,0.00110
344,17200,20659029477542580.00000,0.00096
345,17250,20713711059746204.00000,0.00102
346,17300,21462641265313136.00000,0.00109
347,17350,21417993105088484.00000,0.00101
348,17400,22205836862183952.00000,0.00096
349,17450,22583438382347596.00000,0.00097
350,17500,22935152015578988.00000,0.00100
351,17550,23361028532435760.00000,0.00099
352,17600,23641635429843472.00000,0.00098
353,17650,23796270276676896.00000,0.00098
354,17700,24297336952158040.00000,0.00099
355,17750,24779840149313644.00000,0.00106
356,17800,24807471124803244.00000,0.00103
357,17850,25789095075083472.00000,0.00101
358,17900,25870629928585240.00000,0.00099
359,17950,26371862336692640.00000,0.00097
360,18000,26767640496867352.00000,0.00098
361,18050,27021730010321000.00000,0.00093
362,18100,28052163691282432.00000,0.00098
363,18150,28114520474716540.00000,0.00096
364,18200,28587894942893756.00000,0.00093
365,18250,28972050266709544.00000,0.00090
366,18300,29064142543960296.00000,0.00088
367,18350,29647612732957528.00000,0.00096
368,18400,30725797265796752.00000,0.00093
369,18450,30921647900102728.00000,0.00093
370,18500,31405852036162188.00000,0.00095
371,18550,31752316380050916.00000,0.00097
372,18600,32840001592911812.00000,0.00097
373,18650,32638487337911012.00000,0.00103
374,18700,33194374457606856.00000,0.00097
375,18750,33872930837423784.00000,0.00096
376,18800,34277997597224592.00000,0.00092
377,18850,34844743401554800.00000,0.00090
378,18900,35740760757948516.00000,0.00097
379,18950,35897016230798084.00000,0.00094
380,19000,37109936255870616.00000,0.00096
381,19050,37933268532676760.00000,0.00095
382,19100,38566451324438656.00000,0.00102
383,19150,38261649019878240.00000,0.00102
384,19200,39196587076356640.00000,0.00096
385,19250,39732901289612144.00000,0.00100
386,19300,40413673068331448.00000,0.00097
387,19350,40908724516828248.00000,0.00096
388,19400,41744284742573816.00000,0.00095
389,19450,42571564357759288.00000,0.00091
390,19500,42485876797886432.00000,0.00094
391,19550,44226519131875600.00000,0.00097
392,19600,44039628431067848.00000,0.00099
393,19650,44890732138855568.00000,0.00096
394,19700,46029536281991440.00000,0.00097
395,19750,45192751596436464.00000,0.00095
396,19800,46381999147267648.00000,0.00091
397,19850,46978566974319208.00000,0.00100
398,19900,47252220121284040.00000,0.00098
399,19950,48610393943919840.00000,0.00097
400,20000,49509984425290440.00000,0.00097
401,20050,50060015953129984.00000,0.00096
402,20100,51004693865666096.00000,0.00099
403,20150,52459904235753160.00000,0.00096
404,20200,53165450756376472.00000,0.00089
405,20250,52887868839588296.00000,0.00090
406,20300,53950372619361984.00000,0.00091
407,20350,54435277881218112.00000,0.00096
408,20400,55075113517672520.00000,0.00091
409,20450,56352863949305064.00000,0.00089
410,20500,56934511839612544.00000,0.00093
411,20550,58215147841469376.00000,0.00092
412,20600,57017486814754280.00000,0.00094
413,20650,58964750634988640.00000,0.00089
414,20700,60341361062887624.00000,0.00095
415,20750,60274463174782456.00000,0.00089
416,20800,60864038171942312.00000,0.00091
417,20850,60850481383643352.00000,0.00095
418,20900,62704781146876064.00000,0.00102
419,20950,64295529690081320.00000,0.00104
420,21000,65062920416554832.00000,0.00101
421,21050,64763785504080136.00000,0.00108
422,21100,65763896388888640.00000,0.00103
423,21150,68410133433775496.00000,0.00105
424,21200,68838160492517824.00000,0.00103
425,21250,69509823265102848.00000,0.00100
426,21300,70218150948504704.00000,0.00098
427,21350,71828938079874432.00000,0.00100
428,21400,72371454076716992.00000,0.00102
429,21450,73105030318709808.00000,0.00105
430,21500,73509373720222880.00000,0.00108
431,21550,73920906550380176.00000,0.00111
432,21600,76317486007937840.00000,0.00108
433,21650,77195715555035712.00000,0.00104
434,21700,77809553769128160.00000,0.00119
435,21750,78919419992822832.00000,0.00116
436,21800,80290226820378048.00000,0.00117
437,21850,81363957735065424.00000,0.00113
438,21900,82548888760621088.00000,0.00113
439,21950,84204487521977216.00000,0.00118
440,22000,86056854784534624.00000,0.00127
441,22050,85406977345784768.00000,0.00132
442,22100,86247702326438592.00000,0.00128
443,22150,88265729117025392.00000,0.00135
444,22200,90399799973326128.00000,0.00127
445,22250,90919243476111904.00000,0.00130
446,22300,92311099541746000.00000,0.00136
447,22350,92278187109856048.00000,0.00138
448,22400,94350894885826528.00000,0.00126
449,22450,95244237875217392.00000,0.00134
450,22500,96996831252076096.00000,0.00138
451,22550,98503675128486912.00000,0.00138
452,22600,97987826609357040.00000,0.00137
453,22650,101659820374710416.00000,0.00138
454,22700,101207352328499568.00000,0.00127
455,22750,102899836035649264.00000,0.00128
456,22800,106203540828345472.00000,0.00117
457,22850,105889851782671136.00000,0.00115
458,22900,105680728764291488.00000,0.00112
459,22950,109695454635661104.00000,0.00120
460,23000,110320339828653152.00000,0.00107
461,23050,109374930859512880.00000,0.00107
462,23100,111349404665393920.00000,0.00107
463,23150,114208181495034112.00000,0.00110
464,23200,114172678261549904.00000,0.00108
465,23250,118536395103983424.00000,0.00102
466,23300,116040081685001616.00000,0.00101
467,23350,118947410812084912.00000,0.00098
468,23400,121437903666219760.00000,0.00092
469,23450,120791403140914112.00000,0.00096
470,23500,121588978048700672.00000,0.00092
471,23550,123052271624331856.00000,0.00095
472,23600,127739269479155024.00000,0.00094
473,23650,127406140234971696.00000,0.00100
474,23700,129463817123399968.00000,0.00097
475,23750,132333905617953696.00000,0.00097
476,23800,132243604065201040.00000,0.00087
477,23850,132624949985808512.00000,0.00094
478,23900,136147556382822224.00000,0.00091
479,23950,137935915522218432.00000,0.00092
480,24000,136980256548244688.00000,0.00098
481,24050,140364744623389392.00000,0.00098
482,24100,141141156791506464.00000,0.00092
483,24150,142775512197058528.00000,0.00089
484,24200,146846955959603008.00000,0.00094
485,24250,144555222890781248.00000,0.00088
486,24300,146852751741788384.00000,0.00089
487,24350,149544096552108352.00000,0.00095
488,24400,155035103005864064.00000,0.00090
489,24450,153120734926381344.00000,0.00089
490,24500,153615526538687776.00000,0.00091
491,24550,155805454891847264.00000,0.00091
492,24600,159060147460125824.00000,0.00090
493,24650,159254025489797280.00000,0.00089
494,24700,159963820048969440.00000,0.00090
495,24750,165123195994922272.00000,0.00089
496,24800,162724627930209888.00000,0.00095
497,24850,168256613309012288.00000,0.00086
498,24900,171118467667779008.00000,0.00094
499,24950,173823400100442080.00000,0.00088
500,25000,174661548019034880.00000,0.00086
501,25050,172384613314542880.00000,0.00084
502,25100,178362221480449312.00000,0.00089
503,25150,179453164752127840.00000,0.00092
504,25200,182316390286525824.00000,0.00092
505,25250,183281104174520128.00000,0.00087
506,25300,184845739983076320.00000,0.00086
507,25350,181474306320972480.00000,0.00085
508,25400,191215195439307104.00000,0.00087
509,25450,190167106092397888.00000,0.00085
510,25500,193534527078068384.00000,0.00089
511,25550,195761837101160000.00000,0.00095
512,25600,197093213977607904.00000,0.00091
513,25650,198209799110321888.00000,0.00084
514,25700,198594307830080192.00000,0.00089
515,25750,202711703379222144.00000,0.00092
516,25800,205705596246855904.00000,0.00086
517,25850,207912410988016192.00000,0.00079
518,25900,214448468465149152.00000,0.00086
519,25950,209730731064562080.00000,0.00089
520,26000,215362827749019072.00000,0.00090
521,26050,214086871661876672.00000,0.00086
522,26100,216652433536796544.00000,0.00083
523,26150,219394400185779904.00000,0.00086
524,26200,220549455861891616.00000,0.00086
525,26250,229403690011844160.00000,0.00086
526,26300,228177934676645472.00000,0.00088
527,26350,229315950593826112.00000,0.00091
528,26400,230631299265313952.00000,0.00088
529,26450,241514694113486368.00000,0.00086
530,26500,240569842469645600.00000,0.00086
531,26550,240997409710530656.00000,0.00085
532,26600,242798867272362176.00000,0.00085
533,26650,244733427568341056.00000,0.00084
534,26700,247424827003281888.00000,0.00085
535,26750,247364642043592704.00000,0.00083
536,26800,253501091852510400.00000,0.00086
537,26850,255858197097311680.00000,0.00088
538,26900,258226997059573824.00000,0.00080
539,26950,259688593188905664.00000,0.00079
540,27000,265283548295944800.00000,0.00082
541,27050,264581460184077824.00000,0.00090
542,27100,270115933293662176.00000,0.00090
543,27150,275706378624391680.00000,0.00092
544,27200,269527189847188544.00000,0.00083
545,27250,275201818915708320.00000,0.00085
546,27300,275746071253172544.00000,0.00076
547,27350,282647139700155328.00000,0.00079
548,27400,285703193106538816.00000,0.00083
549,27450,280328089378230976.00000,0.00077
550,27500,290700164574962816.00000,0.00084
551,27550,295580529065431744.00000,0.00080
552,27600,296793228822847936.00000,0.00077
553,27650,295456096188084800.00000,0.00077
554,27700,303030389922185088.00000,0.00072
555,27750,308272387224986112.00000,0.00075
556,27800,303013097900965056.00000,0.00077
557,27850,306264916965232576.00000,0.00079
558,27900,308830172961013952.00000,0.00075
559,27950,305833500491699648.00000,0.00082
560,28000,314549776282417088.00000,0.00078
561,28050,313067630631696512.00000,0.00077
562,28100,320790725534878592.00000,0.00078
563,28150,326081804438753920.00000,0.00081
564,28200,324948778259483968.00000,0.00078
565,28250,333021859510320320.00000,0.00078
566,28300,333350660909857408.00000,0.00084
567,28350,339910859657585664.00000,0.00087
568,28400,341346125647015552.00000,0.00080
569,28450,341880528327161408.00000,0.00077
570,28500,343321767934902208.00000,0.00079
571,28550,350281722690846912.00000,0.00082
572,28600,353968892629387776.00000,0.00084
573,28650,354451222272076224.00000,0.00089
574,28700,357305059288438720.00000,0.00082
575,28750,365292097834746752.00000,0.00082
576,28800,365303201668245248.00000,0.00083
577,28850,369337619136325952.00000,0.00082
578,28900,375702292199962688.00000,0.00081
579,28950,377910749700609088.00000,0.00085
580,29000,375353041216107584.00000,0.00086
581,29050,381070572818208960.00000,0.00083
582,29100,382956880245833984.00000,0.00078
583,29150,386464768835501312.00000,0.00081
584,29200,390342263801946560.00000,0.00083
585,29250,391531620194058240.00000,0.00079
586,29300,400872999403804224.00000,0.00083
587,29350,405830099974385536.00000,0.00085
588,29400,404500511314897600.00000,0.00079
589,29450,410613201890928064.00000,0.00076
590,29500,414592889298595648.00000,0.00084
591,29550,411581402386776832.00000,0.00085
592,29600,418220555457649920.00000,0.00078
593,29650,424564932978223616.00000,0.00083
594,29700,431791892911802560.00000,0.00082
595,29750,428645846341108096.00000,0.00081
596,29800,431428207936843840.00000,0.00084
597,29850,442263079228963840.00000,0.00076
598,29900,439919575155351808.00000,0.00080
599,29950,456491036974904832.00000,0.00084
600,30000,450570292166179392.00000,0.00081
601,30050,453725946591616704.00000,0.00081
602,30100,459912501429026304.00000,0.00090
603,30150,461272594106533248.00000,0.00082
604,30200,467832543092778112.00000,0.00084
605,30250,471412560362577984.00000,0.00088
606,30300,484456420571133248.00000,0.00086
607,30350,479059923349878144.00000,0.00085
608,30400,485409406023516096.00000,0.00089
609,30450,482351865425250624.00000,0.00086
610,30500,493681900847311808.00000,0.00091
611,30550,496344940654007616.00000,0.00089
612,30600,495079923586774080.00000,0.00100
613,30650,503908296529281024.00000,0.00095
614,30700,503100728074210880.00000,0.00095
615,30750,512840053925830528.00000,0.00090
616,30800,505932838196281088.00000,0.00096
617,30850,513173355079736192.00000,0.00093
618,30900,518279907296953792.00000,0.00088
619,30950,524719907211722304.00000,0.00087
620,31000,536629400803677888.00000,0.00088
621,31050,548008348041489408.00000,0.00080
622,31100,536658911102203072.00000,0.00085
623,31150,547808429348430848.00000,0.00083
624,31200,547076336768878464.00000,0.00084
625,31250,552152830453297856.00000,0.00093
626,31300,557836349608098880.00000,0.00091
627,31350,559876240826196672.00000,0.00089
628,31400,565728675138020800.00000,0.00090
629,31450,571356303229238656.00000,0.00085
630,31500,574982931953171136.00000,0.00087
631,31550,572478282802471744.00000,0.00099
632,31600,594939465037456512.00000,0.00087
633,31650,601879796510896512.00000,0.00087
634,31700,610514098928708096.00000,0.00086
635,31750,601285131568960256.00000,0.00089
636,31800,610749286254545280.00000,0.00087
637,31850,619467157863510528.00000,0.00082
638,31900,617993340787472896.00000,0.00086
639,31950,622605127944602240.00000,0.00092
640,32000,632198584365639808.00000,0.00084
641,32050,627206169859831552.00000,0.00080
642,32100,632079441196670976.00000,0.00085
643,32150,636708087986376320.00000,0.00087
644,32200,648896657895474176.00000,0.00086
645,32250,650865575414377856.00000,0.00092
646,32300,653639549202382208.00000,0.00087
647,32350,654593083355116032.00000,0.00094
648,32400,669234414328134272.00000,0.00099
649,32450,675540164074617856.00000,0.00095
650,32500,686310935055926016.00000,0.00103
651,32550,679919462649419392.00000,0.00103
652,32600,680549013272597120.00000,0.00095
653,32650,694103423395619584.00000,0.00098
654,32700,682911658393353984.00000,0.00099
655,32750,710084007281429248.00000,0.00092
656,32800,701342837868208896.00000,0.00096
657,32850,712276026305800064.00000,0.00094
658,32900,714708195724770304.00000,0.00097
659,32950,734465666690473088.00000,0.00096
660,33000,719447404312969088.00000,0.00096
661,33050,728850799868655360.00000,0.00086
662,33100,748280454266305408.00000,0.00085
663,33150,739903074110462080.00000,0.00084
664,33200,743136533397585280.00000,0.00091
665,33250,748790619512855296.00000,0.00094
666,33300,757676588000373888.00000,0.00090
667,33350,761284684259618944.00000,0.00087
668,33400,768947726355045888.00000,0.00094
669,33450,784141423332657408.00000,0.00092
670,33500,787144910999437824.00000,0.00088
671,33550,793709245242352640.00000,0.00089
672,33600,784292577775686528.00000,0.00092
673,33650,792856725479493120.00000,0.00096
674,33700,798209254175288832.00000,0.00093
675,33750,818425340589110144.00000,0.00091
676,33800,821834065079241472.00000,0.00094
677,33850,821636385307127552.00000,0.00096
678,33900,825334198775432704.00000,0.00098
679,33950,843731010212780928.00000,0.00100
680,34000,832961685255170944.00000,0.00099
681,34050,842665333502365312.00000,0.00100
682,34100,854565343217358848.00000,0.00097
683,34150,858960178344277248.00000,0.00092
684,34200,873625176644979712.00000,0.00096
685,34250,869694630956706560.00000,0.00091
686,34300,871373238643525760.00000,0.00103
687,34350,896557055183401216.00000,0.00101
688,34400,885478332002878464.00000,0.00101
689,34450,895762973053008128.00000,0.00092
690,34500,900332409135977088.00000,0.00097
691,34550,912176281302664192.00000,0.00091
692,34600,921546562291802624.00000,0.00082
693,34650,909407411578262784.00000,0.00084
694,34700,939372773750621696.00000,0.00088
695,34750,936923615933632256.00000,0.00089
696,34800,928947561394435712.00000,0.00088
697,34850,940465972791291776.00000,0.00083
698,34900,968520719679410048.00000,0.00089
699,34950,950116706455568896.00000,0.00097
700,35000,961342062513001344.00000,0.00090
701,35050,975236012749772544.00000,0.00094
702,35100,987096155607811328.00000,0.00097
703,35150,996015046838918272.00000,0.00091
704,35200,1005073493657923712.00000,0.00086
705,35250,988069876747311104.00000,0.00085
706,35300,994420906401020928.00000,0.00090
707,35350,1001647860353247616.00000,0.00088
708,35400,1028355594460625536.00000,0.00087
709,35450,1026155541415056640.00000,0.00088
710,35500,1032709215389052544.00000,0.00088
711,35550,1045104067062629760.00000,0.00085
712,35600,1016836640648546688.00000,0.00083
713,35650,1076142543307883264.00000,0.00088
714,35700,1068969910837209856.00000,0.00092
715,35750,1085727480027057664.00000,0.00089
716,35800,1081534327656220672.00000,0.00088
717,35850,1100124653677565952.00000,0.00084
718,35900,1085357149358387584.00000,0.00091
