number,returns,variances,epsilon
210450,[0.24000 0.36000],[0.00640 0.00640],0.2870366371737979
210500,[0.20000 0.24000],[0.00000 0.03840],0.286990155789202
210550,[0.20000 0.32000],[0.00000 0.02560],0.2869483069545707
210600,[0.24000 0.28000],[0.00640 0.02560],0.2868952337908203
210650,[0.28000 0.16000],[0.00960 0.02240],0.2868520777920137
210700,[0.24000 0.20000],[0.00640 0.03200],0.28680320485834637
210750,[0.20000 0.40000],[0.00000 0.00000],0.2867574215573028
210800,[0.22000 0.38000],[0.00160 0.00160],0.286703063379747
210850,[0.24000 0.36000],[0.00640 0.00640],0.28665641599553243
210900,[0.20000 0.32000],[0.00000 0.02560],0.286611096090813
210950,[0.20000 0.40000],[0.00000 0.00000],0.28656116449361235
211000,[0.20000 0.32000],[0.01600 0.00960],0.28650684351884753
211050,[0.20000 0.32000],[0.00000 0.02560],0.2864505541040884
211100,[0.22000 0.30000],[0.00160 0.02400],0.28639559464581243
211150,[0.20000 0.40000],[0.00000 0.00000],0.28634152483188025
211200,[0.24000 0.36000],[0.00640 0.00640],0.2862905415150393
211250,[0.24000 0.36000],[0.00640 0.00640],0.28623737031437785
211300,[0.20000 0.32000],[0.00000 0.02560],0.2861929953037034
211350,[0.20000 0.24000],[0.00000 0.03840],0.28614006184030305
211400,[0.20000 0.40000],[0.00000 0.00000],0.2860836249090106
211450,[0.32000 0.20000],[0.00960 0.01600],0.2860300530651614
211500,[0.20000 0.40000],[0.00000 0.00000],0.2859804421916689
211550,[0.24000 0.28000],[0.02240 0.00960],0.28592337837934473
211600,[0.20000 0.32000],[0.00000 0.02560],0.28587246951378387
211650,[0.24000 0.36000],[0.00640 0.00640],0.285822227841827
211700,[0.20000 0.32000],[0.00000 0.02560],0.28576716960204984
211750,[0.20000 0.32000],[0.01600 0.00960],0.2857151920749015
211800,[0.20000 0.40000],[0.00000 0.00000],0.28566344325653614
211850,[0.20000 0.40000],[0.00000 0.00000],0.28561192302609983
211900,[0.24000 0.36000],[0.00640 0.00640],0.2855615079681691
211950,[0.20000 0.40000],[0.00000 0.00000],0.2855113209472526
212000,[0.20000 0.32000],[0.00000 0.02560],0.2854576371757741
212050,[0.20000 0.40000],[0.00000 0.00000],0.2854122877338905
212100,[0.20000 0.40000],[0.00000 0.00000],0.28535906062531696
212150,[0.20000 0.40000],[0.00000 0.00000],0.28530474854363735
212200,[0.20000 0.24000],[0.00000 0.03840],0.2852543877069002
212250,[0.20000 0.32000],[0.00000 0.02560],0.28520316015224895
212300,[0.24000 0.36000],[0.00640 0.00640],0.2851517229352052
212350,[0.20000 0.32000],[0.00000 0.02560],0.2850950433018688
212400,[0.20000 0.32000],[0.00000 0.02560],0.2850458133830856
212450,[0.24000 0.36000],[0.00640 0.00640],0.28499593573712545
212500,[0.22000 0.38000],[0.00160 0.00160],0.2849421301706122
212550,[0.20000 0.40000],[0.00000 0.00000],0.28489883062973986
212600,[0.24000 0.36000],[0.00240 0.00240],0.28484263851310276
212650,[0.20000 0.32000],[0.01600 0.00960],0.2847888618882093
212700,[0.24000 0.36000],[0.00240 0.00240],0.2847392477492834
212750,[0.24000 0.36000],[0.00640 0.00640],0.28468505363591906
212800,[0.28000 0.32000],[0.00960 0.00960],0.2846358945137299
212850,[0.28000 0.32000],[0.00960 0.00960],0.2845808463746478
212900,[0.20000 0.32000],[0.00000 0.02560],0.28453039493295246
212950,[0.20000 0.40000],[0.00000 0.00000],0.28447514885449576
213000,[0.22000 0.38000],[0.00160 0.00160],0.28442449784725565
213050,[0.20000 0.40000],[0.00000 0.00000],0.28437123669052083
213100,[0.20000 0.40000],[0.00000 0.00000],0.28432213175791854
213150,[0.20000 0.32000],[0.00000 0.02560],0.2842691079547139
213200,[0.22000 0.30000],[0.00160 0.02400],0.2842171847616865
213250,[0.24000 0.28000],[0.00640 0.02560],0.28416418053025766
213300,[0.20000 0.32000],[0.00000 0.02560],0.28410987780634234
213350,[0.20000 0.32000],[0.00000 0.02560],0.2840619081306896
213400,[0.20000 0.40000],[0.00000 0.00000],0.28400740696682775
213450,[0.22000 0.38000],[0.00160 0.00160],0.28396185201896873
213500,[0.20000 0.40000],[0.00000 0.00000],0.28391303568971493
213550,[0.22000 0.38000],[0.00160 0.00160],0.28386597074867526
213600,[0.28000 0.32000],[0.00960 0.00960],0.2838176065783139
213650,[0.24000 0.36000],[0.00640 0.00640],0.2837618455124474
213700,[0.20000 0.40000],[0.00000 0.00000],0.28371524115322
213750,[0.20000 0.40000],[0.00000 0.00000],0.28366254824922676
213800,[0.20000 0.32000],[0.00000 0.02560],0.2836179193547542
213850,[0.20000 0.40000],[0.00000 0.00000],0.2835680739167183
213900,[0.20000 0.40000],[0.00000 0.00000],0.28351497313340235
213950,[0.28000 0.32000],[0.00960 0.00960],0.28346862689002544
214000,[0.20000 0.40000],[0.00000 0.00000],0.28342163561969264
214050,[0.24000 0.36000],[0.00640 0.00640],0.2833737821482171
214100,[0.20000 0.40000],[0.00000 0.00000],0.2833222399487563
214150,[0.26000 0.34000],[0.00640 0.00640],0.2832730987356109
214200,[0.20000 0.32000],[0.00000 0.02560],0.2832213574687142
214250,[0.20000 0.40000],[0.00000 0.00000],0.2831702776755319
214300,[0.28000 0.32000],[0.00960 0.00960],0.2831163821825459
214350,[0.20000 0.40000],[0.00000 0.00000],0.2830601071140716
214400,[0.20000 0.32000],[0.00000 0.02560],0.28300797031755137
214450,[0.20000 0.32000],[0.00000 0.02560],0.2829541057163502
214500,[0.20000 0.40000],[0.00000 0.00000],0.28290046850119077
214550,[0.20000 0.40000],[0.00000 0.00000],0.2828411970925903
214600,[0.20000 0.40000],[0.00000 0.00000],0.28278996881302854
214650,[0.20000 0.40000],[0.00000 0.00000],0.28273310760797976
214700,[0.20000 0.32000],[0.00000 0.02560],0.2826812480072401
214750,[0.20000 0.40000],[0.00000 0.00000],0.28263373647360485
214800,[0.20000 0.40000],[0.00000 0.00000],0.28257950932401693
214850,[0.20000 0.40000],[0.00000 0.00000],0.2825259431179256
214900,[0.16000 0.36000],[0.00640 0.00640],0.2824706526266976
214950,[0.20000 0.40000],[0.00000 0.00000],0.2824121215474288
215000,[0.20000 0.32000],[0.00000 0.02560],0.28235923722704365
215050,[0.20000 0.40000],[0.00000 0.00000],0.28230246263014874
215100,[0.20000 0.40000],[0.00000 0.00000],0.2822485156736385
215150,[0.20000 0.40000],[0.00000 0.00000],0.2821830998654605
215200,[0.20000 0.40000],[0.00000 0.00000],0.2821358886050818
215250,[0.20000 0.40000],[0.00000 0.00000],0.28208283950524365
215300,[0.20000 0.40000],[0.00000 0.00000],0.28202936744864643
215350,[0.20000 0.40000],[0.00000 0.00000],0.28197698765289825
215400,[0.20000 0.40000],[0.00000 0.00000],0.2819192080087531
215450,[0.20000 0.40000],[0.00000 0.00000],0.2818614402041815
215500,[0.20000 0.40000],[0.00000 0.00000],0.28180671234551774
215550,[0.20000 0.40000],[0.00000 0.00000],0.28174983259495323
215600,[0.20000 0.40000],[0.00000 0.00000],0.2816838837630501
215650,[0.20000 0.32000],[0.00000 0.02560],0.2816289742214702
215700,[0.20000 0.40000],[0.00000 0.00000],0.2815740753835831
215750,[0.20000 0.40000],[0.00000 0.00000],0.2815209158442996
215800,[0.20000 0.40000],[0.00000 0.00000],0.2814679823758032
215850,[0.20000 0.40000],[0.00000 0.00000],0.2814098750510053
215900,[0.20000 0.40000],[0.00000 0.00000],0.28135415513231715
215950,[0.20000 0.32000],[0.00000 0.02560],0.28130492345698543
216000,[0.20000 0.40000],[0.00000 0.00000],0.28124706565971064
216050,[0.20000 0.40000],[0.00000 0.00000],0.281198716033656
216100,[0.20000 0.40000],[0.00000 0.00000],0.28114195900081645
216150,[0.20000 0.40000],[0.00000 0.00000],0.28108866529897336
216200,[0.16000 0.36000],[0.00640 0.00640],0.2810282636030265
216250,[0.20000 0.40000],[0.00000 0.00000],0.2809736975187837
216300,[0.20000 0.40000],[0.00000 0.00000],0.2809215137869273
216350,[0.20000 0.40000],[0.00000 0.00000],0.28086567499263915
216400,[0.20000 0.40000],[0.00000 0.00000],0.2808092007096095
