iteration,episode,step,labels,labels_seen,state_0,state_1,reward_0,reward_1,action_0,action_1,available_actions_0,available_actions_1
0,69996,0,"('g1', 'g2')",set(),[0 1],[2 6],0.0,0.0,[1],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,1,"('start2',)",{'start2'},[1 1],[2 6],0.0,0.0,[2],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,2,(),{'start2'},[1 1],[2 7],0.0,0.0,[3],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,3,(),{'start2'},[2 1],[1 7],0.0,0.0,[0],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,4,(),{'start2'},[2 2],[2 7],0.0,0.0,[3],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,5,(),{'start2'},[2 1],[3 7],0.0,0.0,[1],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,6,(),{'start2'},[2 2],[2 7],0.0,0.0,[2],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,7,(),{'start2'},[2 3],[1 7],0.0,0.0,[3],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,8,(),{'start2'},[2 2],[2 7],0.0,0.0,[0],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,9,"('start2',)",{'start2'},[2 2],[2 6],0.0,0.0,[2],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,10,(),{'start2'},[2 3],[3 6],0.0,0.0,[0],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,11,(),{'start2'},[1 3],[3 5],0.0,0.0,[2],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,12,"('b',)","{'b', 'start2'}",[1 4],[2 5],2.0,0.0,[1],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,13,(),"{'b', 'start2'}",[2 4],[2 5],0.0,0.0,[3],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,14,(),"{'b', 'start2'}",[2 3],[2 5],0.0,0.0,[2],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,15,"('start2',)","{'b', 'start2'}",[2 4],[2 6],0.0,0.0,[1],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,16,(),"{'b', 'start2'}",[2 3],[3 6],0.0,0.0,[0],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,17,(),"{'b', 'start2'}",[1 3],[3 6],0.0,0.0,[0],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,18,(),"{'b', 'start2'}",[1 3],[3 7],0.0,0.0,[3],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,19,(),"{'b', 'start2'}",[2 3],[3 6],0.0,0.0,[2],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,20,"('start2',)","{'b', 'start2'}",[2 4],[2 6],0.0,0.0,[0],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,21,"('b', 'start2')","{'b', 'start2'}",[1 4],[2 6],0.0,0.0,[1],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,22,"('start2',)","{'b', 'start2'}",[2 4],[2 6],0.0,0.0,[0],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,23,"('b',)","{'b', 'start2'}",[1 4],[2 5],0.0,0.0,[1],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,24,(),"{'b', 'start2'}",[2 4],[2 5],0.0,0.0,[0],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,25,"('b',)","{'b', 'start2'}",[1 4],[3 5],0.0,0.0,[1],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,26,(),"{'b', 'start2'}",[2 4],[3 4],0.0,0.0,[0],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,27,"('b',)","{'b', 'start2'}",[1 4],[3 5],0.0,0.0,[1],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,28,(),"{'b', 'start2'}",[2 4],[3 5],0.0,0.0,[0],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,29,"('b',)","{'b', 'start2'}",[1 4],[3 6],0.0,0.0,[1],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,30,(),"{'b', 'start2'}",[2 4],[3 5],0.0,0.0,[0],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,31,"('b',)","{'b', 'start2'}",[1 4],[2 5],0.0,0.0,[1],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,32,(),"{'b', 'start2'}",[2 4],[2 4],0.0,0.0,[2],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,33,"('b',)","{'b', 'start2'}",[1 4],[3 4],0.0,0.0,[1],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,34,(),"{'b', 'start2'}",[2 4],[3 5],0.0,0.0,[0],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,35,"('b',)","{'b', 'start2'}",[1 4],[3 5],0.0,0.0,[1],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,36,(),"{'b', 'start2'}",[2 4],[2 5],0.0,0.0,[2],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,37,(),"{'b', 'start2'}",[2 5],[2 4],0.0,0.0,[3],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,38,(),"{'b', 'start2'}",[2 5],[3 4],0.0,0.0,[2],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,39,(),"{'b', 'start2'}",[3 5],[3 5],0.0,0.0,[1],[3],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,40,(),"{'b', 'start2'}",[3 4],[3 4],0.0,0.0,[2],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,41,(),"{'b', 'start2'}",[3 5],[3 5],0.0,0.0,[3],[0],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,42,(),"{'b', 'start2'}",[3 4],[2 5],0.0,0.0,[2],[2],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
0,69996,43,"('start2',)","{'b', 'start2'}",[3 5],[2 6],0.0,0.0,[2],[1],"['U', 'D', 'R', 'L']","['U', 'D', 'R', 'L']"
